"filename", "language", "JavaScript", "PHP", "comment", "blank", "total"
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Administrateur.php", "PHP", 0, -70, -4, -12, -86
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Administrateurs.php", "PHP", 0, -126, -14, -17, -157
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Bureau.php", "PHP", 0, -37, 0, -11, -48
"c:\xampp-production\htdocs\lmh-perpignan\modeles\BureauCalendar.php", "PHP", 0, -61, -32, -19, -112
"c:\xampp-production\htdocs\lmh-perpignan\modeles\BureauCalendars.php", "PHP", 0, -276, -24, -107, -407
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Bureaus.php", "PHP", 0, -23, -2, -4, -29
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Modele.php", "PHP", 0, -13, -2, -2, -17
"c:\xampp-production\htdocs\lmh-perpignan\modeles\MyDate.php", "PHP", 0, -110, 0, -13, -123
"c:\xampp-production\htdocs\lmh-perpignan\modeles\MyDates.php", "PHP", 0, -72, -22, -18, -112
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Partenaire.php", "PHP", 0, -85, -1, -22, -108
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Partenaires.php", "PHP", 0, -190, -25, -43, -258
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Prospect.php", "PHP", 0, -50, 0, -10, -60
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Prospects.php", "PHP", 0, -103, -10, -27, -140
"c:\xampp-production\htdocs\lmh-perpignan\modeles\StatPartenaire.php", "PHP", 0, -119, 0, -15, -134
"c:\xampp-production\htdocs\lmh-perpignan\modeles\StatPartenaireDetail.php", "PHP", 0, -183, 0, -22, -205
"c:\xampp-production\htdocs\lmh-perpignan\modeles\StatPartenaires.php", "PHP", 0, -107, -17, -21, -145
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Univers.php", "PHP", 0, -41, 0, -8, -49
"c:\xampp-production\htdocs\lmh-perpignan\modeles\UniversEnfant.php", "PHP", 0, -46, 0, -9, -55
"c:\xampp-production\htdocs\lmh-perpignan\modeles\UniversEnfants.php", "PHP", 0, -124, -23, -30, -177
"c:\xampp-production\htdocs\lmh-perpignan\modeles\Universs.php", "PHP", 0, -84, -22, -20, -126
"c:\xampp-production\htdocs\lmh-perpignan\script\ajax.php", "PHP", 0, 5, 0, 3, 8
"c:\xampp-production\htdocs\lmh-perpignan\script\divers.js", "JavaScript", 14, 0, 1, 5, 20
"c:\xampp-production\htdocs\lmh-perpignan\script\jquery-3.6.0.min.js", "JavaScript", 1, 0, 1, 0, 2
"c:\xampp-production\htdocs\lmh-perpignan\script\md5.js", "JavaScript", 183, 0, 31, 15, 229
"c:\xampp-production\htdocs\lmh-perpignan\script\partenaire.js", "JavaScript", 85, 0, 6, 27, 118
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver-admin.js", "JavaScript", 194, 0, 39, 80, 313
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver.js", "JavaScript", 321, 0, 53, 165, 539
"c:\xampp-production\htdocs\lmh-perpignan\script\script.js", "JavaScript", 222, 0, 123, 103, 448
"c:\xampp-production\htdocs\lmh-perpignan\script\test.js", "JavaScript", 41, 0, 8, 6, 55
"c:\xampp-production\htdocs\lmh-perpignan\script\visiteurDatas.js", "JavaScript", 365, 0, 48, 148, 561
"Total", "-", 1426, -1915, 112, 122, -255
