"filename", "language", "JavaScript", "PHP", "comment", "blank", "total"
"c:\xampp-production\htdocs\lmh-perpignan\script\ajax.php", "PHP", 0, 5, 0, 3, 8
"c:\xampp-production\htdocs\lmh-perpignan\script\divers.js", "JavaScript", 14, 0, 1, 5, 20
"c:\xampp-production\htdocs\lmh-perpignan\script\jquery-3.6.0.min.js", "JavaScript", 1, 0, 1, 0, 2
"c:\xampp-production\htdocs\lmh-perpignan\script\md5.js", "JavaScript", 183, 0, 31, 15, 229
"c:\xampp-production\htdocs\lmh-perpignan\script\partenaire.js", "JavaScript", 85, 0, 6, 27, 118
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver-admin.js", "JavaScript", 194, 0, 39, 80, 313
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver.js", "JavaScript", 321, 0, 53, 165, 539
"c:\xampp-production\htdocs\lmh-perpignan\script\script.js", "JavaScript", 222, 0, 123, 103, 448
"c:\xampp-production\htdocs\lmh-perpignan\script\test.js", "JavaScript", 41, 0, 8, 6, 55
"c:\xampp-production\htdocs\lmh-perpignan\script\visiteurDatas.js", "JavaScript", 365, 0, 48, 148, 561
"Total", "-", 1426, 5, 310, 552, 2293
