"filename", "language", "CSS", "JavaScript", "PHP", "comment", "blank", "total"
"c:\xampp-production\htdocs\lmh-perpignan\css\color.css", "CSS", 47, 0, 0, 9, 13, 69
"c:\xampp-production\htdocs\lmh-perpignan\css\components\connexion.css", "CSS", 52, 0, 0, 2, 17, 71
"c:\xampp-production\htdocs\lmh-perpignan\css\components\footer.css", "CSS", 123, 0, 0, 4, 37, 164
"c:\xampp-production\htdocs\lmh-perpignan\css\components\navbar.css", "CSS", 87, 0, 0, 13, 35, 135
"c:\xampp-production\htdocs\lmh-perpignan\css\components\partenaire.css", "CSS", 85, 0, 0, 9, 18, 112
"c:\xampp-production\htdocs\lmh-perpignan\css\components\partenaires.css", "CSS", 35, 0, 0, 5, 9, 49
"c:\xampp-production\htdocs\lmh-perpignan\css\components\reservation.css", "CSS", 249, 0, 0, 13, 69, 331
"c:\xampp-production\htdocs\lmh-perpignan\css\components\slider.css", "CSS", 217, 0, 0, 5, 55, 277
"c:\xampp-production\htdocs\lmh-perpignan\css\components\univers.css", "CSS", 123, 0, 0, 4, 33, 160
"c:\xampp-production\htdocs\lmh-perpignan\css\framework\utiles.css", "CSS", 761, 0, 0, 11, 240, 1012
"c:\xampp-production\htdocs\lmh-perpignan\css\main.css", "CSS", 11, 0, 0, 12, 1, 24
"c:\xampp-production\htdocs\lmh-perpignan\css\style.css", "CSS", 455, 0, 0, 40, 192, 687
"c:\xampp-production\htdocs\lmh-perpignan\script\ajax.php", "PHP", 0, 0, -5, 0, -3, -8
"c:\xampp-production\htdocs\lmh-perpignan\script\divers.js", "JavaScript", 0, -14, 0, -1, -5, -20
"c:\xampp-production\htdocs\lmh-perpignan\script\jquery-3.6.0.min.js", "JavaScript", 0, -1, 0, -1, 0, -2
"c:\xampp-production\htdocs\lmh-perpignan\script\md5.js", "JavaScript", 0, -183, 0, -31, -15, -229
"c:\xampp-production\htdocs\lmh-perpignan\script\partenaire.js", "JavaScript", 0, -85, 0, -6, -27, -118
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver-admin.js", "JavaScript", 0, -194, 0, -39, -80, -313
"c:\xampp-production\htdocs\lmh-perpignan\script\reserver.js", "JavaScript", 0, -321, 0, -53, -165, -539
"c:\xampp-production\htdocs\lmh-perpignan\script\script.js", "JavaScript", 0, -222, 0, -123, -103, -448
"c:\xampp-production\htdocs\lmh-perpignan\script\test.js", "JavaScript", 0, -41, 0, -8, -6, -55
"c:\xampp-production\htdocs\lmh-perpignan\script\visiteurDatas.js", "JavaScript", 0, -365, 0, -48, -148, -561
"Total", "-", 2245, -1426, -5, -183, 167, 798
